question_id,student_answer,score
1,الشهادتان الصلاة الزكاة,1.5
1,"الشهادتان
إقامة الصلاة
اتاء الزكاة
صوم رمضان 
حج بيت الله ",2.5
1,الشهادتان صوم رمضان اقام الصلاة و استاذ الزكاة و حج بيت الله من استطاع إليه سبيلا ,2.5
1,5,0.0
1,الشهادتين و إقامة الصلاة و إيتاء الزكاة و الصوم رمضان و الحج ,2.5
1,الشهادتان الصلاة الزكاة الصوم,2.0
1,الاكل النوم اللعب مشاهدة الانمي الصلاة الزكاة,1.0
1,الشهادتان الصلاة الصوم الزكاة الحج,2.5
1,الشهادتين/ الصلاة / الزكاة/ صوم رمضان / الحج,2.5
1,"الشهادتين 
أقام الصلاة 
ايتاء الزكاة 
صوم رمضان 
حج بيت الله الحرام ",2.5
1, الشهادتان الصلاة الصوم الحج الزكاة,2.5
1,الشهادتان و الصلاة ,1.0
1,الصلاة الصوم الزكاة الحج ,1.5
1,الشهادتان و الصوم و الصلاة و الحج,2.0
1,"شهادة أن لا إله إلا الله وأن محمدا رسول الله
الصلاة
الزكاة
صوم رمضان
 و حج البيت من استطاع إليه سبيلا",2.5
1,الشهادتان، الصلاة، الصوم، الزكاة، الحج لمن استطاع إليه سبيلا.,2.5
1,الصلاة. الزكاة. الشهادتين. صوم رمضان. الحج لمن استطاع اليه سبيلا,2.5
1,الشهادتان إقامة الصلاة الصوم,1.5
1,الشهادتان الصوم للصلاة و الحج ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان ,2.0
1,صوم رمضان إقامة الصلاة الحج,1.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان ,2.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم يوم وحج البيت من استطاع اليه سبيلا ,2.5
1,إقامة الصلاة ايتاء الزكاة صوم رمضان ,1.5
1,الصوم الزكاة الحج,1.5
1,5,0.0
1,الشهادتان الصلاة الزكاة الصوم ,2.0
1,5 و هي الشهادتين إقامة الصلاة ايتاء الزكاة صوم رمضان و حج بيت الله من استطاع إليه سبيلا ,2.5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادتان الصلاة الزكاة الصوم ,2.0
1,5,0.0
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,2.5
1,الشهادة .الصلاة .الصةم .الزكاة و الحج,2.5
1,الشهادتان - الصلاة - الصوم - الزكاة - الحج لمن استطاع سبيلا,2.5
1,الشهادات إقامة الصلاة ايتاء الزكاة صوم رمضان حج بيت الله ,2.5
1,١ شهادة ان لا اله الا الله و ان محمدا رسول الله ٢ اقامة الصلاة ٣ ايتاء الزكاة ٤ صوم رمضان ٥ حج البيت لمن استطاع اليه سبيلا,2.5
1,الشهادتين.الصلاةوالصيام والزكاة والحجر لمن استطاع إليه سبيلا,2.5
1,"الشهادة  أشهد أن لا إله إلا الله وأشهد أن محمد رسول الله 
إقامة الصلاة وايتاء الزكاة وصوم رمضان وحج البيت الله من استطاع اليه سبيلا 
",2.5
1,صوم وصلات وزكات حج والشهادتين,2.5
1,الشهاذتان الصلاة صوم رمضان الزكاة حج البيت من استطاع إليه سبيلا,2.5
1,اركان إلاسلام خمسة وهي الشهادتان الصلاة الزكاة الصيام الحج كم استطاع إليه سبيلا ,2.5
1,الشهادتين و إقامة الصلاة والإيتاء الزكاة و الصوم رمضان و الحج ,2.5
1,الشهادة  الزكاة الصيام الصلاة الحج,2.5
1,الشهادة الزكاة الصيام الصلاة الحج ,2.5
