questio_id,student_answer,score
1,الشهادتان الصلاة الزكاة,3
1,"الشهادتان
إقامة الصلاة
اتاء الزكاة
صوم رمضان 
حج بيت الله ",5
1,الشهادتان صوم رمضان اقام الصلاة و استاذ الزكاة و حج بيت الله من استطاع إليه سبيلا ,5
1,5,0
1,حج بيت الله ,1
1,الشهادتان,1
1,إقامة الصلاة,1
1,اتاء الزكاة,1
1,صوم رمضان ,1
1,الشهادتين و إقامة الصلاة و إيتاء الزكاة و الصوم رمضان و الحج ,5
1,الشهادتان الصلاة الزكاة الصوم,4
1,الاكل النوم اللعب مشاهدة الانمي الصلاة الزكاة,2
1,الشهادتان الصلاة الصوم الزكاة الحج,5
1,الشهادتين/ الصلاة / الزكاة/ صوم رمضان / الحج,5
1,"الشهادتين 
أقام الصلاة 
ايتاء الزكاة 
صوم رمضان 
حج بيت الله الحرام ",5
1, الشهادتان الصلاة الصوم الحج الزكاة,5
1,الشهادتان و الصلاة ,2
1,الصلاة الصوم الزكاة الحج ,3
1,الشهادتان و الصوم و الصلاة و الحج,4
1,"شهادة أن لا إله إلا الله وأن محمدا رسول الله
الصلاة
الزكاة
صوم رمضان
 و حج البيت من استطاع إليه سبيلا",5
1,الشهادتان، الصلاة، الصوم، الزكاة، الحج لمن استطاع إليه سبيلا.,5
1,الصلاة. الزكاة. الشهادتين. صوم رمضان. الحج لمن استطاع اليه سبيلا,5
1,الشهادتان إقامة الصلاة الصوم,3
1,الشهادتان الصوم للصلاة و الحج ,4
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان ,4
1,صوم رمضان إقامة الصلاة الحج,3
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم يوم وحج البيت من استطاع اليه سبيلا ,5
1,إقامة الصلاة ايتاء الزكاة صوم رمضان ,3
1,الصوم الزكاة الحج,3
1,الشهادتان الصلاة الزكاة الصوم ,4
1,5 و هي الشهادتين إقامة الصلاة ايتاء الزكاة صوم رمضان و حج بيت الله من استطاع إليه سبيلا ,5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت ,5
1,الشهادة .الصلاة .الصةم .الزكاة و الحج,5
1,الشهادتان - الصلاة - الصوم - الزكاة - الحج لمن استطاع سبيلا,5
1,الشهادات إقامة الصلاة ايتاء الزكاة صوم رمضان حج بيت الله ,5
1,١ شهادة ان لا اله الا الله و ان محمدا رسول الله ٢ اقامة الصلاة ٣ ايتاء الزكاة ٤ صوم رمضان ٥ حج البيت لمن استطاع اليه سبيلا,5
1,الشهادتين.الصلاةوالصيام والزكاة والحجر لمن استطاع إليه سبيلا,5
1,"الشهادة  أشهد أن لا إله إلا الله وأشهد أن محمد رسول الله 
إقامة الصلاة وايتاء الزكاة وصوم رمضان وحج البيت الله من استطاع اليه سبيلا 
",5
1,صوم وصلات وزكات حج والشهادتين,5
1,الشهاذتان الصلاة صوم رمضان الزكاة حج البيت من استطاع إليه سبيلا,5
1,اركان إلاسلام خمسة وهي الشهادتان الصلاة الزكاة الصيام الحج كم استطاع إليه سبيلا ,5
1,الشهادتين و إقامة الصلاة والإيتاء الزكاة و الصوم رمضان و الحج ,5
1,الشهادة  الزكاة الصيام الصلاة الحج,5
1,الشهادة الزكاة الصيام الصلاة الحج ,5
1,الشهادتان، الصلاة، الزكاة، الصوم،الحج,5
1,الشهادتان اقامة الصلاة ايتاء الزكاة صوم رمضان حج البيت ,5
1,الشهادتين الصوم الصلاة الزكاة الحج,5
1,الشهادتان _ الصلاة _ الزكاة _ الصوم _ الحج,5
1,الشهادتان إقامة الصلاة ايتاء الزكاة صوم رمضان وحج البيت من استطاع اليه سبيلا ,5
1,الشهادتان إقامة الصلاة ايتاء الزكاة ,3
