question_id,student_answer,score
4,اسرافيل عليه السلام ,5
4,اسرافيل ,5
4,الملك إسرافيل,5
4,اسرافيل,5
4,إسرافيل عليه السلام,5
4,إسرافيل ,5
4,عزرائيل ,0
4,اسرائيل,0
4,اسرافبل,5
4,إسرافيل,5
4,عزرائيل,0
4,الملك إسرافيل ,5
4,ميكائيل,0
4,إسرائيل  عليه وسلم ,0
4,الملك المكلف بالنفخ في الصور هو الملك إسرافيل عليه السلام ,5
4,اسرافيل عليه السلام,5
4,عزرائل,0
4,جبرائيل ,0
4, إسرافبل,5
4,جبرائيل,0
4,جبريل ,0
4,إسرافيل عليه السلام ,5
4,الملك المكلف هو,0
4,الملك اسرافيل ,5
4,الملك المكلف بالنفخ في الصور هو الملك ميكائيل عليه السلام ,0
4,اسمه إسرافيل ,5
4,الملك عزرائيل ,0
4,مكائيل,0
4,جبريل,0
4,الملك هو إسرافيل ,5
4,الملك المكلف بالنفخة الأولى والثانية هو الملك إسرافيل ,5
4,لا أعرف ,0
